bundle_id,total_length_m,total_addresses,n_segments,total_length_km
3.0,1822.7491288633614,73.0,9,1.8227491288633615
61.0,1629.8180521640465,72.0,6,1.6298180521640466
114.0,1718.773607613197,88.0,11,1.7187736076131972
304.0,1504.7045769030603,86.0,9,1.5047045769030603
356.0,1728.2694201032796,81.0,14,1.7282694201032796
368.0,1560.3501029756983,88.0,14,1.5603501029756983
392.0,2166.3724323615024,79.0,8,2.1663724323615026
397.0,1874.3549527269354,87.0,16,1.8743549527269354
408.0,1740.4817941372091,84.0,13,1.740481794137209
458.0,1504.5631151178363,75.0,8,1.5045631151178362
462.0,1632.4925844045788,87.0,9,1.6324925844045788
563.0,1980.490860865254,86.0,12,1.980490860865254
580.0,1770.662012542887,80.0,12,1.770662012542887
601.0,1841.974358652214,82.0,11,1.8419743586522141
616.0,2249.3368184931805,77.0,15,2.2493368184931803
643.0,1891.9608114983314,87.0,12,1.8919608114983313
660.0,1622.3833644065132,85.0,12,1.6223833644065133
819.0,1694.1648575667768,80.0,9,1.694164857566777
1033.0,1637.7492618714318,88.0,12,1.6377492618714318
1074.0,1568.6350132688349,74.0,5,1.568635013268835
1133.0,1524.9457447252792,87.0,12,1.5249457447252792
1149.0,1705.750949034872,83.0,7,1.7057509490348721
1331.0,1781.5252900356736,74.0,13,1.7815252900356735
1352.0,1534.7703793722446,82.0,7,1.5347703793722447
1372.0,1514.31285434963,76.0,9,1.51431285434963
1440.0,1505.500184247641,80.0,9,1.505500184247641
1463.0,1914.7528694296266,84.0,8,1.9147528694296265
1471.0,1587.2243934846892,86.0,9,1.5872243934846892
1500.0,1515.3733089339992,88.0,12,1.5153733089339991
1505.0,1589.9056437167087,86.0,10,1.5899056437167087
1725.0,1544.4154426349378,80.0,6,1.5444154426349377
1765.0,1541.4920856351648,86.0,11,1.5414920856351648
1854.0,1540.338712909312,88.0,19,1.540338712909312
1865.0,1704.488546556164,81.0,13,1.704488546556164
1898.0,1526.2630979624357,77.0,6,1.5262630979624356
1963.0,1558.7722259709485,86.0,11,1.5587722259709484
2035.0,1577.0982581042176,81.0,9,1.5770982581042177
2110.0,2310.5644978473456,87.0,14,2.3105644978473454
2137.0,1646.8521351782613,75.0,9,1.6468521351782612
2145.0,1529.133930595968,87.0,8,1.529133930595968
2148.0,1621.336921301052,83.0,6,1.621336921301052
2157.0,1517.0858650136875,79.0,6,1.5170858650136874
2194.0,1984.6892479607855,80.0,8,1.9846892479607854
2249.0,1677.8243168891017,72.0,8,1.6778243168891018
2253.0,1660.141891681308,78.0,9,1.660141891681308
2302.0,1643.2822532214884,83.0,18,1.6432822532214884
2324.0,1795.2184477623155,82.0,12,1.7952184477623154
2422.0,1604.4209835573595,85.0,12,1.6044209835573595
2462.0,1683.7561163030373,83.0,6,1.6837561163030372
2546.0,1915.0500544611177,77.0,4,1.9150500544611178
2573.0,2261.2875266187684,88.0,8,2.2612875266187684
2595.0,1665.6883594371423,84.0,8,1.6656883594371423
2627.0,1543.6577845704048,86.0,5,1.543657784570405
2959.0,1684.2178405234774,85.0,10,1.6842178405234773
2965.0,1526.3942679935362,84.0,9,1.5263942679935363
3012.0,1744.7532074470346,85.0,10,1.7447532074470347
3017.0,1647.9194305034919,88.0,11,1.6479194305034919
3019.0,1626.008001493579,86.0,13,1.6260080014935792
3058.0,2547.0210975956506,86.0,12,2.5470210975956507
3072.0,1806.902050012821,76.0,15,1.806902050012821
3080.0,1696.206670096391,88.0,4,1.696206670096391
3088.0,2004.5603665016672,82.0,10,2.0045603665016674
3092.0,2243.065814815928,88.0,10,2.243065814815928
3131.0,1639.108170204991,88.0,11,1.639108170204991
3134.0,1564.6712609271353,78.0,12,1.5646712609271354
3147.0,1580.6243554165246,82.0,11,1.5806243554165247
3163.0,1807.121822280048,88.0,11,1.807121822280048
3166.0,1535.9426021517884,86.0,11,1.5359426021517883
3193.0,1515.2276336188027,87.0,9,1.5152276336188026
3326.0,1535.4843355035682,85.0,8,1.535484335503568
3327.0,1662.900666875555,85.0,8,1.662900666875555
3334.0,1792.7927700379125,87.0,14,1.7927927700379125
3358.0,1514.7623662199387,81.0,10,1.5147623662199388
3364.0,1565.9742680786821,87.0,11,1.5659742680786821
3367.0,1642.0121775835746,80.0,8,1.6420121775835745
3383.0,2687.2089771274873,83.0,9,2.6872089771274874
3392.0,1743.3449278703772,87.0,8,1.7433449278703772
3458.0,1597.9730589305984,87.0,14,1.5979730589305985
3516.0,1537.0421706165737,85.0,8,1.5370421706165738
3608.0,1663.987404539273,82.0,6,1.663987404539273
3616.0,1790.9282017914356,84.0,6,1.7909282017914356
3632.0,1815.3447595125283,83.0,8,1.8153447595125283
4633.0,1703.27844785951,83.0,12,1.70327844785951
5034.0,1568.458249710853,87.0,10,1.5684582497108528
5040.0,2036.6149371905326,87.0,16,2.0366149371905324
5050.0,3261.617197121755,88.0,15,3.261617197121755
5051.0,2109.1571926154584,82.0,14,2.1091571926154584
5077.0,1530.7346592237209,80.0,15,1.530734659223721
5084.0,1530.5332743715826,86.0,9,1.5305332743715825
5087.0,1631.0269664671564,81.0,13,1.6310269664671564
5093.0,1570.4760055048578,84.0,9,1.5704760055048577
5106.0,1831.4758839631509,85.0,11,1.8314758839631509
5107.0,2721.659380547709,81.0,16,2.721659380547709
5124.0,2087.0854587711797,88.0,10,2.08708545877118
5126.0,1528.5376593139106,80.0,16,1.5285376593139106
5140.0,1539.4121325955587,82.0,7,1.5394121325955588
5151.0,1598.4890609428628,87.0,12,1.5984890609428628
5178.0,1920.5239383801222,80.0,12,1.9205239383801223
5192.0,1594.6061977046118,74.0,7,1.5946061977046118
5203.0,1917.758640107628,85.0,15,1.917758640107628
5204.0,1767.6662660028178,84.0,11,1.7676662660028177
5214.0,2529.856976002936,80.0,13,2.529856976002936
5222.0,1991.1627387669237,87.0,11,1.9911627387669237
5231.0,2481.0214119798566,81.0,11,2.4810214119798566
5246.0,1761.6761034205215,83.0,9,1.7616761034205215
5272.0,1926.105871353537,85.0,11,1.9261058713535368
5335.0,1730.839960565666,83.0,15,1.730839960565666
5366.0,1613.6754011437674,86.0,15,1.6136754011437675
5384.0,1854.3991673417052,87.0,18,1.854399167341705
5423.0,2304.205079642616,83.0,8,2.304205079642616
5453.0,1780.0669150101799,86.0,19,1.7800669150101798
5467.0,1656.6641444132842,88.0,12,1.6566641444132844
5474.0,1597.761724437237,85.0,12,1.597761724437237
5491.0,1934.3275339351053,85.0,5,1.9343275339351054
5503.0,1566.213656880723,80.0,7,1.566213656880723
5508.0,1512.0045428690444,79.0,12,1.5120045428690443
5512.0,1666.4957079799046,80.0,6,1.6664957079799045
5546.0,1502.1081886640056,80.0,9,1.5021081886640055
5552.0,1931.386052787726,82.0,2,1.931386052787726
5555.0,1616.6086270951414,86.0,18,1.6166086270951414
5573.0,1614.620589967822,88.0,14,1.614620589967822
5598.0,1509.365124027708,82.0,11,1.509365124027708
5602.0,1566.9111600357207,81.0,17,1.5669111600357208
5624.0,1847.99275459764,78.0,9,1.84799275459764
5634.0,1667.60097064807,85.0,7,1.66760097064807
5649.0,1661.8136130021608,82.0,10,1.6618136130021608
5650.0,2769.652912885848,83.0,9,2.769652912885848
5664.0,1536.877887350289,86.0,10,1.536877887350289
5687.0,2503.9151216419264,81.0,9,2.5039151216419264
5733.0,1551.2874430196678,74.0,10,1.5512874430196677
5750.0,1572.1919798453005,72.0,8,1.5721919798453006
5777.0,2079.564770353677,84.0,4,2.079564770353677
5806.0,1693.5019932686846,88.0,11,1.6935019932686846
5835.0,2331.023848896294,87.0,9,2.331023848896294
5852.0,1564.231395645167,80.0,6,1.564231395645167
5923.0,1644.636842484673,82.0,4,1.6446368424846731
5928.0,1737.8641043142998,88.0,9,1.7378641043142997
5932.0,1550.1222382485514,80.0,9,1.5501222382485513
5940.0,1667.0208812072865,83.0,8,1.6670208812072864
5977.0,1954.2914432717798,83.0,14,1.9542914432717797
5978.0,1873.6831165055496,75.0,9,1.8736831165055496
5982.0,1707.6803983719506,86.0,11,1.7076803983719506
5983.0,1607.7514992976646,80.0,11,1.6077514992976647
5984.0,1601.1058776423563,81.0,14,1.6011058776423563
5989.0,1663.496210464212,83.0,12,1.663496210464212
5991.0,1608.2509078132025,80.0,11,1.6082509078132026
5993.0,1614.756928826033,81.0,10,1.6147569288260328
5998.0,1571.342567347599,74.0,9,1.571342567347599
6001.0,2192.87031869041,80.0,14,2.1928703186904097
6004.0,1824.363432704892,82.0,11,1.8243634327048919
6019.0,1918.972242749497,77.0,4,1.9189722427494968
